,Player,Age,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional,Team,Season,Bats,Red Sox,Twins,Yankees,2022,2023,2024
60,Ceddanne Rafaela,23,2.8,152,571,544,70,134,23,5,15,75,19,10,15,151,0.246,0.274,0.39,0.664,82.0,0.299,85.0,212,8,7,2,3,1,864/5H9,,rafaece01,Red Sox,2024,R,True,False,False,False,False,True
61,Rafael Devers,27,3.7,138,601,525,87,143,34,5,28,83,3,0,67,147,0.272,0.354,0.516,0.871,139.0,0.368,134.0,271,13,3,0,6,14,*5/D,ASMVP-13,deverra01,Red Sox,2024,L,True,False,False,False,False,True
62,Tyler O'Neill,29,2.6,113,473,411,74,99,18,0,31,61,4,0,53,159,0.241,0.336,0.511,0.847,132.0,0.365,131.0,210,13,7,0,2,5,79D/H,,oneilty01,Red Sox,2024,R,True,False,False,False,False,True
63,Jarren Duran,27,8.7,160,735,671,111,191,48,14,21,75,34,7,54,160,0.285,0.342,0.492,0.834,129.0,0.373,134.0,330,6,6,1,3,1,*87,ASMVP-8,duranja01,Red Sox,2024,L,True,False,False,False,False,True
64,Wilyer Abreu,25,3.4,132,447,399,59,101,33,2,15,58,8,3,40,125,0.253,0.322,0.459,0.781,114.0,0.339,112.0,183,7,3,0,5,0,*9H/78D,ROY-6GG,abreuwi02,Red Sox,2024,L,True,False,False,False,False,True
65,Masataka Yoshida,30,1.4,108,421,378,45,106,21,0,10,56,2,0,27,52,0.28,0.349,0.415,0.765,112.0,0.341,114.0,157,6,14,0,2,0,DH/7,,yoshima02,Red Sox,2024,L,True,False,False,False,False,True
66,David Hamilton,26,2.6,98,317,294,47,73,17,1,8,28,33,4,22,80,0.248,0.303,0.395,0.697,92.0,0.331,95.0,116,1,1,0,0,0,64H,,hamilda03,Red Sox,2024,L,True,False,False,False,False,True
67,Rob Refsnyder,33,0.8,93,307,272,32,77,16,1,11,40,2,2,28,78,0.283,0.359,0.471,0.83,129.0,0.354,126.0,128,6,5,0,1,2,79HD,,refsnro01,Red Sox,2024,R,True,False,False,False,False,True
68,Triston Casas,24,0.6,63,243,212,28,51,8,0,13,32,0,1,30,77,0.241,0.337,0.462,0.8,120.0,0.34,116.0,98,6,1,0,0,4,3/HD,,casastr01,Red Sox,2024,L,True,False,False,False,False,True
69,Romy González,27,0.9,89,216,199,25,53,10,1,6,29,11,3,12,58,0.266,0.306,0.417,0.723,99.0,0.326,100.0,83,5,1,0,4,0,H4635/97D8,,gonzaro01,Red Sox,2024,R,True,False,False,False,False,True
70,Reese McGuire,29,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61.0,0.269,60.0,41,4,2,1,3,0,2/HD,,mcguire01,Red Sox,2024,L,True,False,False,False,False,True
71,Vaughn Grissom,23,-0.2,31,114,105,10,20,3,0,0,6,2,0,7,24,0.19,0.246,0.219,0.465,31.0,0.234,35.0,23,3,1,0,1,0,4/DH,,grissva01,Red Sox,2024,R,True,False,False,False,False,True
72,Trevor Story,31,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104.0,0.325,104.0,37,2,1,0,0,2,6,,storytr01,Red Sox,2024,R,True,False,False,False,False,True
73,Danny Jansen,29,0.1,30,96,80,8,15,0,0,3,6,0,0,15,19,0.188,0.323,0.3,0.623,75.0,0.307,90.0,24,3,1,0,0,0,2/HD,,janseda01,Red Sox,2024,R,True,False,False,False,False,True
74,Bobby Dalbec,29,-0.8,37,93,83,6,11,2,0,1,8,3,0,8,43,0.133,0.217,0.193,0.41,16.0,0.196,4.0,16,1,1,1,0,0,35/H9D,,dalbebo01,Red Sox,2024,R,True,False,False,False,False,True
75,Nick Sogard,26,0.3,31,86,77,13,21,4,0,0,8,3,0,7,25,0.273,0.326,0.325,0.65,82.0,0.299,79.0,25,4,0,0,2,0,4/65H3,,sogarni01,Red Sox,2024,S,True,False,False,False,False,True
76,Garrett Cooper,33,-0.9,24,75,70,3,12,4,0,0,5,0,0,3,22,0.171,0.227,0.229,0.455,28.0,0.207,19.0,16,2,2,0,0,0,3/DH,,coopega03,Red Sox,2024,R,True,False,False,False,False,True
77,Pablo Reyes,30,-0.7,21,64,60,4,11,2,0,0,5,1,2,3,19,0.183,0.234,0.217,0.451,27.0,0.196,20.0,13,1,1,0,0,0,5/436H1,,reyespa01,Red Sox,2024,R,True,False,False,False,False,True
78,Jamie Westbrook,29,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,0.15,0.234,0.35,0.584,60.0,0.271,63.0,14,0,1,0,2,0,4/H59D,,westbja02,Red Sox,2024,R,True,False,False,False,False,True
79,Mickey Gasper,28,-0.2,13,23,18,1,0,0,0,0,0,0,0,4,8,0.0,0.217,0.0,0.217,-32.0,0.151,-22.0,0,1,1,0,0,0,/4HD3,,gaspemi01,Red Sox,2024,S,True,False,False,False,False,True
80,Zack Short,29,-0.2,2,7,7,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0.0,-130.0,0,0,0,0,0,0,/45,,shortza01,Red Sox,2024,R,True,False,False,False,False,True
81,Tyler Heineman,33,0.1,2,3,2,0,0,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,5.0,0.239,41.0,0,0,1,0,0,0,/2D,,heinety01,Red Sox,2024,S,True,False,False,False,False,True
82,Josh Winckowski,26,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,winckjo01,Red Sox,2024,R,True,False,False,False,False,True
83,Chris Martin,38,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,martich02,Red Sox,2024,R,True,False,False,False,False,True
84,Chase Shugart,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,shugach01,Red Sox,2024,L,True,False,False,False,False,True
85,Zach Penrod,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,penroza01,Red Sox,2024,L,True,False,False,False,False,True
86,Kenley Jansen,36,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,janseke01,Red Sox,2024,S,True,False,False,False,False,True
87,Isaiah Campbell,26,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,/1,,campbis01,Red Sox,2024,R,True,False,False,False,False,True
88,Brennan Bernardino,32,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,bernabr01,Red Sox,2024,L,True,False,False,False,False,True
89,Chase Anderson,36,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,anderch01,Red Sox,2024,R,True,False,False,False,False,True
90,Jose Trevino,29,2.3,115,353,335,39,83,12,1,11,43,2,1,15,62,0.248,0.283,0.388,0.671,89.0,0.296,86.0,130,5,2,0,1,0,*2/HD,ASGG,trevijo01,Yankees,2022,R,False,False,True,True,False,False
91,Anthony Rizzo,32,2.3,130,548,465,77,104,21,1,32,75,6,5,58,101,0.224,0.338,0.48,0.817,130.0,0.35,127.0,223,13,23,0,2,6,*3/DH,,rizzoan01,Yankees,2022,L,False,False,True,True,False,False
92,Gleyber Torres,25,4.0,140,572,526,73,135,28,1,24,76,10,5,39,129,0.257,0.31,0.451,0.761,113.0,0.334,114.0,237,12,3,1,3,2,*4/DH6,,torregl01,Yankees,2022,R,False,False,True,True,False,False
93,Isiah Kiner-Falefa,27,2.9,142,531,483,66,126,20,0,4,48,22,4,35,72,0.261,0.314,0.327,0.642,84.0,0.299,83.0,158,13,5,3,5,2,*6/5H,,kineris01,Yankees,2022,R,False,False,True,True,False,False
94,Josh Donaldson,36,2.2,132,546,478,59,106,28,0,15,62,2,2,54,148,0.222,0.308,0.374,0.682,93.0,0.311,98.0,179,13,8,0,6,1,5D/H,,donaljo02,Yankees,2022,R,False,False,True,True,False,False
95,Aaron Hicks,32,1.5,130,453,384,54,83,9,2,8,40,10,3,62,109,0.216,0.33,0.313,0.642,85.0,0.304,90.0,120,10,4,1,2,3,*87H/D,,hicksaa01,Yankees,2022,S,False,False,True,True,False,False
96,Aaron Judge,30,10.5,157,696,570,133,177,28,0,62,131,16,3,111,175,0.311,0.425,0.686,1.111,210.0,0.463,208.0,391,14,6,0,5,19,*89D/H,ASMVP-1SS,judgeaa01,Yankees,2022,R,False,False,True,True,False,False
97,Joey Gallo,28,0.0,82,273,233,32,37,4,1,12,24,2,0,40,106,0.159,0.282,0.339,0.621,76.0,0.286,78.0,79,0,0,0,0,0,79/H8D,,gallojo01,Yankees,2022,L,False,False,True,True,False,False
98,Giancarlo Stanton,32,0.7,110,452,398,53,84,7,0,31,78,0,0,50,137,0.211,0.297,0.462,0.759,112.0,0.331,111.0,184,8,0,0,3,2,D9/H7,AS,stantmi03,Yankees,2022,R,False,False,True,True,False,False
99,DJ LeMahieu,33,3.6,125,541,467,74,122,18,0,12,46,4,3,67,71,0.261,0.357,0.377,0.734,110.0,0.339,118.0,176,12,4,1,2,0,543/HD,GG,lemahdj01,Yankees,2022,R,False,False,True,True,False,False
100,Kyle Higashioka,32,0.6,83,248,229,27,52,7,0,10,31,0,1,12,52,0.227,0.264,0.389,0.653,83.0,0.284,79.0,89,5,1,2,4,0,2/HD,,higasky01,Yankees,2022,R,False,False,True,True,False,False
101,Marwin González,33,0.8,85,207,184,20,34,7,0,6,18,3,0,14,54,0.185,0.255,0.321,0.576,63.0,0.273,66.0,59,8,4,3,2,0,6973H5/4D1,,gonzama01,Yankees,2022,S,False,False,True,True,False,False
102,Oswaldo Cabrera,23,2.0,44,171,154,21,38,8,1,6,19,3,2,15,44,0.247,0.312,0.429,0.74,108.0,0.325,108.0,66,1,0,1,1,0,9/76345H,,cabreos01,Yankees,2022,S,False,False,True,True,False,False
103,Matt Carpenter,36,2.3,47,154,128,28,39,9,0,15,37,0,0,19,35,0.305,0.412,0.727,1.138,216.0,0.476,218.0,93,2,5,1,1,1,D9H/375,,carpema01,Yankees,2022,L,False,False,True,True,False,False
104,Andrew Benintendi,27,0.6,33,131,114,14,29,9,1,2,12,4,1,13,25,0.254,0.331,0.404,0.734,108.0,0.332,109.0,46,1,1,1,2,0,7/H,AS,beninan01,Yankees,2022,L,False,False,True,True,False,False
105,Miguel Andujar,27,0.2,27,100,96,9,22,2,0,1,8,4,0,3,22,0.229,0.25,0.281,0.531,51.0,0.279,67.0,27,0,0,0,1,0,7/DH3,,andujmi01,Yankees,2022,R,False,False,True,True,False,False
106,Oswald Peraza,22,0.5,18,57,49,8,15,3,0,1,2,2,0,6,9,0.306,0.404,0.429,0.832,138.0,0.396,153.0,21,3,2,0,0,0,6/4H,,perazos02,Yankees,2022,R,False,False,True,True,False,False
107,Harrison Bader,28,-0.1,14,49,46,3,10,3,0,0,9,2,1,2,15,0.217,0.245,0.283,0.528,50.0,0.23,38.0,13,0,0,0,1,0,8/H,,baderha01,Yankees,2022,R,False,False,True,True,False,False
108,Tim Locastro,29,-0.2,38,46,43,13,8,1,0,2,4,8,2,2,7,0.186,0.239,0.349,0.588,65.0,0.279,58.0,15,0,1,0,0,0,H7/89D,,locasti01,Yankees,2022,R,False,False,True,True,False,False
109,Estevan Florial,24,-0.5,17,35,31,4,3,0,0,0,1,2,0,3,13,0.097,0.2,0.097,0.297,-11.0,0.168,-17.0,3,0,1,0,0,0,8/H7D,,flories01,Yankees,2022,L,False,False,True,True,False,False
110,Ronald Guzmán,27,-0.2,3,6,6,0,0,0,0,0,0,0,0,0,5,0.0,0.0,0.0,0.0,-100.0,0.0,-129.0,0,1,0,0,0,0,/3,,guzmaro01,Yankees,2022,L,False,False,True,True,False,False
111,Rob Brantly,32,0.0,1,3,3,0,1,1,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,175.0,0.419,176.0,2,0,0,0,0,0,/2,,brantro01,Yankees,2022,L,False,False,True,True,False,False
112,Jonathan Loáisiga,27,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,loaisjo01,Yankees,2022,R,False,False,True,True,False,False
113,Clarke Schmidt,26,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,0,0,0,0,0,0,1,,schmicl01,Yankees,2022,R,False,False,True,True,False,False
114,Kyle Higashioka,33,-0.3,92,260,242,24,57,13,0,10,34,0,0,14,74,0.236,0.274,0.413,0.687,85.0,0.295,81.0,100,5,0,1,3,0,2/HD,,higasky01,Yankees,2023,R,False,False,True,False,True,False
115,Anthony Rizzo,33,0.5,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,94.0,0.309,94.0,141,10,12,0,1,1,3/D,,rizzoan01,Yankees,2023,L,False,False,True,False,True,False
116,Gleyber Torres,26,2.9,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.8,118.0,0.344,116.0,270,19,3,0,6,0,*4D/H,,torregl01,Yankees,2023,R,False,False,True,False,True,False
117,Anthony Volpe,22,3.3,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81.0,0.299,80.0,207,10,5,1,2,0,*6/H,ROY-8GG,volpean01,Yankees,2023,R,False,False,True,False,True,False
