,Tm,Attendance,Attend/G,BatAge,PAge,BPF,PPF,Est. Payroll,Year,yearID,lgID,franchID,divID,Rank,G,Ghome,W,L,Covered,RoofType
72,KCR,1578922,19493,28.0,27.6,98,99,59445500,2008,2008,AL,KCR,C,4,162,81,75,87,False,Open
73,ANA,3336747,41194,29.0,27.6,102,102,119216333,2008,2008,AL,ANA,W,1,162,81,100,62,False,Open
74,LAD,3730553,46056,28.5,29.5,98,97,118588536,2008,2008,NL,LAD,W,1,162,81,84,78,False,Open
75,MIL,3068458,37882,28.7,29.9,98,98,80937499,2008,2008,NL,MIL,C,2,162,81,90,72,True,Retractable
76,MIN,2302431,28425,26.2,27.5,96,96,56932766,2008,2008,AL,MIN,C,2,163,81,88,75,False,Open
77,NYM,4042045,49902,30.1,29.0,98,98,137793376,2008,2008,NL,NYM,E,2,162,81,89,73,False,Open
78,NYY,4298655,53070,31.4,30.6,103,101,212286789,2008,2008,AL,NYY,E,3,162,81,89,73,False,Open
79,OAK,1665256,20559,27.2,26.5,94,94,47967126,2008,2008,AL,OAK,W,3,161,81,75,86,False,Open
80,PHI,3422583,42254,30.1,30.6,102,101,97879880,2008,2008,NL,PHI,E,1,162,81,92,70,False,Open
81,PIT,1609076,19865,28.4,26.5,96,97,48689783,2008,2008,NL,PIT,C,6,162,81,67,95,False,Open
82,SDP,2427535,29970,28.9,30.2,87,88,73677616,2008,2008,NL,SDP,W,5,162,81,63,99,False,Open
83,SEA,2329702,28762,29.7,28.5,96,97,117666482,2008,2008,AL,SEA,W,4,162,81,61,101,True,Retractable
84,SFG,2863837,35356,29.6,27.1,102,102,76594500,2008,2008,NL,SFG,W,4,162,81,72,90,False,Open
85,STL,3432917,42382,28.8,30.2,98,98,99624449,2008,2008,NL,STL,C,4,162,81,86,76,False,Open
86,TBD,1811986,22370,27.0,27.5,101,101,44970597,2008,2008,AL,TBD,E,1,162,81,97,65,True,Fixed
87,TEX,1945677,24021,27.7,28.1,101,102,68037326,2008,2008,AL,TEX,W,2,162,81,79,83,False,Open
88,TOR,2399786,29627,31.0,28.6,97,97,97793900,2008,2008,AL,TOR,E,4,162,81,86,76,True,Retractable
89,WSN,2320400,29005,27.7,27.3,98,100,54961000,2008,2008,NL,WSN,E,5,161,80,59,102,False,Open
90,ARI,2128765,26281,26.5,27.7,105,106,75920666,2009,2009,NL,ARI,W,5,162,81,70,92,True,Retractable
91,ATL,2373631,29304,28.8,28.9,99,98,99593166,2009,2009,NL,ATL,E,3,162,81,86,76,False,Open
92,BAL,1907163,23545,28.7,28.1,101,102,69904166,2009,2009,AL,BAL,E,5,162,81,64,98,False,Open
93,BOS,3062699,37811,30.0,29.8,105,104,125439499,2009,2009,AL,BOS,E,2,162,81,95,67,False,Open
94,CHC,3168859,39611,29.9,28.4,107,106,139652000,2009,2009,NL,CHC,C,2,161,80,83,78,False,Open
95,CHW,2284163,28200,29.8,29.5,105,105,101081000,2009,2009,AL,CHW,C,3,162,81,79,83,False,Open
96,CIN,1747919,21579,27.8,29.0,100,100,78979000,2009,2009,NL,CIN,C,4,162,81,78,84,False,Open
97,CLE,1766242,21805,27.4,27.8,95,95,85224866,2009,2009,AL,CLE,C,4,162,81,65,97,False,Open
98,COL,2665080,32902,27.8,28.5,112,112,79250200,2009,2009,NL,COL,W,2,162,81,92,70,False,Open
99,DET,2567165,31693,29.8,26.6,101,101,119510145,2009,2009,AL,DET,C,2,163,81,86,77,False,Open
100,FLA,1464109,18075,27.0,26.3,102,102,40029000,2009,2009,NL,FLA,E,2,162,81,87,75,True,Retractable
101,HOU,2521076,31124,31.6,31.2,98,98,105804414,2009,2009,NL,HOU,C,5,162,81,74,88,True,Retractable
102,KCR,1797891,22196,27.6,28.7,97,99,76817333,2009,2009,AL,KCR,C,4,162,81,65,97,False,Open
103,ANA,3240386,40005,29.6,28.6,99,98,118169000,2009,2009,AL,ANA,W,1,162,81,97,65,False,Open
104,LAD,3761655,46440,29.7,27.8,95,95,102117592,2009,2009,NL,LAD,W,1,162,81,95,67,False,Open
105,MIL,3037451,37499,29.3,30.0,98,98,81384502,2009,2009,NL,MIL,C,3,162,81,80,82,True,Retractable
106,MIN,2416237,29466,27.6,27.9,98,98,67804266,2009,2009,AL,MIN,C,1,163,82,87,76,False,Open
107,NYM,3168571,39118,29.5,29.2,97,97,151994237,2009,2009,NL,NYM,E,4,162,81,70,92,False,Open
108,NYY,3719358,45918,30.6,29.3,105,103,210330039,2009,2009,AL,NYY,E,1,162,81,103,59,False,Open
109,OAK,1408783,17392,29.1,25.7,98,98,65945000,2009,2009,AL,OAK,W,4,162,81,75,87,False,Open
110,PHI,3600693,44453,31.3,31.2,101,100,115479046,2009,2009,NL,PHI,E,1,162,81,93,69,False,Open
111,PIT,1577853,19480,27.0,26.3,98,99,51912500,2009,2009,NL,PIT,C,6,161,81,62,99,False,Open
112,SDP,1919603,23699,28.0,26.8,90,90,50954200,2009,2009,NL,SDP,W,4,162,81,75,87,False,Open
113,SEA,2195533,27105,29.9,27.4,94,95,100134166,2009,2009,AL,SEA,W,3,162,81,85,77,True,Retractable
114,SFG,2862110,35335,29.0,28.7,102,101,91944450,2009,2009,NL,SFG,W,3,162,81,88,74,False,Open
115,STL,3343252,41275,28.5,30.1,98,97,90928409,2009,2009,NL,STL,C,1,162,81,91,71,False,Open
116,TBD,1874962,23148,27.8,28.4,98,97,67270334,2009,2009,AL,TBD,E,3,162,81,84,78,True,Fixed
117,TEX,2156016,26617,27.8,27.7,104,104,79723548,2009,2009,AL,TEX,W,2,162,81,87,75,False,Open
118,TOR,1876129,23162,29.9,28.4,100,99,83964500,2009,2009,AL,TOR,E,4,162,81,75,87,True,Retractable
119,WSN,1817226,22435,28.3,27.4,99,101,64384000,2009,2009,NL,WSN,E,5,162,81,59,103,False,Open
120,ARI,2056697,25391,26.8,27.9,105,105,61368166,2010,2010,NL,ARI,W,5,162,81,65,97,True,Retractable
121,ATL,2510119,30989,28.6,30.1,98,97,84423666,2010,2010,NL,ATL,E,2,162,81,91,71,False,Open
